id,state,state_abb,state_id,county,county_id,operator,ref,name,sqft,lon,lat,type,company
828135845,Virginia,VA,51,Prince William County,153,Amazon Web Services,IAD84,Amazon IAD84,152692.0,-77.65249934084503,38.8161031223026,building,amazon
830881731,Iowa,IA,19,Polk County,153,Microsoft,,Microsoft,153956.0,-93.70254178906356,41.51674074828143,building,microsoft
830881732,Iowa,IA,19,Polk County,153,Microsoft,,Microsoft,149149.0,-93.70251346931218,41.51584274137181,building,microsoft
830881733,Iowa,IA,19,Polk County,153,Microsoft,,Microsoft,144428.0,-93.70630110395008,41.5158179370744,building,microsoft
830881734,Iowa,IA,19,Polk County,153,Microsoft,,Microsoft,146482.0,-93.70635081713183,41.51671171276783,building,microsoft
830881742,Iowa,IA,19,Polk County,153,Microsoft,,Microsoft,145134.0,-93.70633127239608,41.51850163161288,building,microsoft
830881743,Iowa,IA,19,Polk County,153,Microsoft,,Microsoft,143145.0,-93.7063124996927,41.51760660601612,building,microsoft
830881744,Iowa,IA,19,Polk County,153,Microsoft,,Microsoft,141016.0,-93.70249272354832,41.51764119065465,building,microsoft
830881745,Iowa,IA,19,Polk County,153,Microsoft,,Microsoft,141225.0,-93.70252494893268,41.51853822500233,building,microsoft
830885773,Iowa,IA,19,Warren County,181,Microsoft,,Microsoft,239270.0,-93.78703936226476,41.49787064306023,building,microsoft
830885774,Iowa,IA,19,Warren County,181,Microsoft,,Microsoft,243678.0,-93.78707464281725,41.49891302864557,building,microsoft
830885779,Iowa,IA,19,Madison County,121,Microsoft,,Project Osmium,3691114.0,-93.78856494092211,41.4982126945884,campus,microsoft
830885779,Iowa,IA,19,Warren County,181,Microsoft,,Project Osmium,3691114.0,-93.78856494092211,41.4982126945884,campus,microsoft
830931210,Iowa,IA,19,Polk County,153,Meta,,Facebook Altoona Data Center 5,628003.0,-93.51662854518422,41.67117312225116,building,meta
844359206,Nevada,NV,32,Clark County,3,Google,,Google,143869.0,-115.00857680765697,36.056288380442616,building,google
844359207,Nevada,NV,32,Clark County,3,Google,,Google,141227.0,-115.00879721733386,36.05880161382709,building,google
844371952,Alabama,AL,1,Jackson County,71,Google,,Google,144996.0,-85.74742813692481,34.9136919358168,building,google
844371953,Alabama,AL,1,Jackson County,71,Google,,Google,141947.0,-85.74593535678355,34.91367641738197,building,google
844386860,Texas,TX,48,Ellis County,139,Google,,Google,144574.0,-97.06248797347524,32.44212970719258,building,google
844386861,Texas,TX,48,Ellis County,139,Google,,Google,138230.0,-97.06333284249686,32.44355545089075,building,google
844389014,Tennessee,TN,47,Montgomery County,125,Google,SPC2A,Google,169736.0,-87.26129639057423,36.62458167653138,building,google
844391358,Ohio,OH,39,Licking County,89,Google,,Google NBY-1,145177.0,-82.76429366972576,40.06114460722927,building,google
844394339,Nebraska,NE,31,Sarpy County,153,Meta,,Meta Sarpy Data center,666382.0,-96.14419028998032,41.12354217069119,building,meta
844394340,Nebraska,NE,31,Sarpy County,153,Meta,,Meta Sarpy Data center,515084.0,-96.14485433047682,41.1207319993102,building,meta
844394357,Nebraska,NE,31,Sarpy County,153,Google,,Google,152487.0,-96.14672977480356,41.13497469466853,building,google
852039781,Virginia,VA,51,Loudoun County,107,Amazon Web Services,IAD119,Amazon IAD119,127104.0,-77.43938662806684,39.01693014125531,building,amazon
871745265,Iowa,IA,19,Dallas County,49,Microsoft,,Microsoft,220735.0,-93.82789533434016,41.540709217348976,building,microsoft
874506250,Ohio,OH,39,Franklin County,49,Amazon Web Services,,Amazon Web Services,161757.0,-83.13490722876958,40.06014718926057,building,amazon
883809860,North Carolina,NC,37,Rutherford County,161,Meta,FRC,Meta Forest City datacenter,319829.0,-81.82513233085027,35.316554514924,building,meta
883809862,North Carolina,NC,37,Rutherford County,161,Meta,,Facebook Forest City Data Center,4849510.0,-81.82474729583835,35.315698382784056,campus,meta
886028872,Virginia,VA,51,Loudoun County,107,Amazon Web Services,IAD128,Amazon IAD128,105735.0,-77.43838436569268,39.01608221259819,building,amazon
886330269,Virginia,VA,51,Loudoun County,107,Microsoft,,Microsoft,155317.0,-77.56412899431636,39.07478688334023,building,microsoft
897226574,Virginia,VA,51,Loudoun County,107,Amazon Web Services,IAD125,Amazon IAD125,104431.0,-77.56054492011098,38.94808953816639,building,amazon
897226575,Virginia,VA,51,Loudoun County,107,Amazon Web Services,IAD124,Amazon IAD124,104434.0,-77.56045170040849,38.94989544830295,building,amazon
914613836,Oregon,OR,41,Morrow County,49,Amazon Web Services,PDX91,Amazon PDX91,210994.0,-119.68835481078412,45.83792394838973,building,amazon
914616809,Oregon,OR,41,Morrow County,49,Amazon Web Services,PDX92,Amazon PDX92,211026.0,-119.6931290980946,45.83754024756914,building,amazon
914616810,Oregon,OR,41,Morrow County,49,Amazon Web Services,PDX64,Amazon Web Services us-west-2,211938.0,-119.60564495354758,45.84665461437445,building,amazon
930849744,Virginia,VA,51,Loudoun County,107,Amazon Web Services,IAD163,Amazon IAD163,131936.0,-77.42970207458241,39.03230534445815,building,amazon
954433119,Virginia,VA,51,Loudoun County,107,Amazon Web Services,IAD175,Amazon IAD175,86503.0,-77.42547991599417,38.97986799140556,building,amazon
958662382,Virginia,VA,51,Loudoun County,107,Amazon Web Services,IAD147,Amazon IAD147,102767.0,-77.43535922197498,38.99501200382876,building,amazon
975484796,Ohio,OH,39,Franklin County,49,Amazon Web Services,,Amazon Web Services,170922.0,-83.13460627634682,40.05932515588516,building,amazon
975484797,Ohio,OH,39,Franklin County,49,Amazon Web Services,,Amazon Web Services,133709.0,-83.13409055935804,40.05830889449401,building,amazon
975484798,Ohio,OH,39,Franklin County,49,Amazon Web Services,,Amazon Web Services,142297.0,-83.13275276040426,40.06077960066598,building,amazon
984953813,Virginia,VA,51,Loudoun County,107,Amazon Web Services,IAD174,Amazon IAD174,132388.0,-77.42747327984164,39.02891562520285,building,amazon
984953814,Virginia,VA,51,Loudoun County,107,Amazon Web Services,IAD164,Amazon IAD164,132374.0,-77.42894228408753,39.03047299575455,building,amazon
986829280,Virginia,VA,51,Loudoun County,107,Microsoft,,Microsoft,97581.0,-77.56303534723706,39.07550786595816,building,microsoft
989735623,Virginia,VA,51,Loudoun County,107,Amazon Web Services,IAD152,Amazon IAD152,156644.0,-77.47974227140159,38.91657561831895,building,amazon
989735624,Virginia,VA,51,Loudoun County,107,Amazon Web Services,IAD151,Amazon IAD151,155542.0,-77.47870521719227,38.916150911627575,building,amazon
