string_id,gid_1,gid_0,name_0,name_1,area_km2,bws_raw,bws_score,bws_cat,bws_label
725554-USA.33_1-1216,USA.33_1,USA,United States,New York,55.1693493379,0.6709829179943881,3.74627603849926,3.0,High (40-80%)
725555-USA.33_1-1158,USA.33_1,USA,United States,New York,5746.50627031,0.0050663533528388,0.0,0.0,Low (<10%)
725555-USA.33_1-1216,USA.33_1,USA,United States,New York,347.647378279,0.0050663533528388,0.0,0.0,Low (<10%)
725555-USA.36_1-1158,USA.36_1,USA,United States,Ohio,754.122945153,0.0050663533528388,0.0,0.0,Low (<10%)
725555-USA.36_1-1216,USA.36_1,USA,United States,Ohio,256.435390778,0.0050663533528388,0.0,0.0,Low (<10%)
725556-USA.36_1-1216,USA.36_1,USA,United States,Ohio,0.061821245,0.0027355105782503,0.0,0.0,Low (<10%)
725557-USA.33_1-1158,USA.33_1,USA,United States,New York,328.059543414,0.1983647841757518,1.9881559259036168,1.0,Low - Medium (10-20%)
725557-USA.36_1-1158,USA.36_1,USA,United States,Ohio,1020.17069821,0.1983647841757518,1.9881559259036168,1.0,Low - Medium (10-20%)
725557-USA.36_1-1216,USA.36_1,USA,United States,Ohio,17525.3099598,0.1983647841757518,1.9881559259036168,1.0,Low - Medium (10-20%)
725557-USA.39_1-1158,USA.39_1,USA,United States,Pennsylvania,1158.68052529,0.1983647841757518,1.9881559259036168,1.0,Low - Medium (10-20%)
725557-USA.39_1-1216,USA.39_1,USA,United States,Pennsylvania,189.856966433,0.1983647841757518,1.9881559259036168,1.0,Low - Medium (10-20%)
725558-USA.36_1-1216,USA.36_1,USA,United States,Ohio,6524.48794037,0.0014192993404366,0.0,0.0,Low (<10%)
725559-USA.36_1-1216,USA.36_1,USA,United States,Ohio,3487.97562943,0.0017149310727474,0.0,0.0,Low (<10%)
725560-USA.15_1-1216,USA.15_1,USA,United States,Indiana,2217.22380602,0.0112080029390172,0.0,0.0,Low (<10%)
725560-USA.15_1-844,USA.15_1,USA,United States,Indiana,1147.50826873,0.0112080029390172,0.0,0.0,Low (<10%)
725560-USA.23_1-1216,USA.23_1,USA,United States,Michigan,2.26948778535,0.0112080029390172,0.0,0.0,Low (<10%)
725560-USA.23_1-1287,USA.23_1,USA,United States,Michigan,82.4131374629,0.0112080029390172,0.0,0.0,Low (<10%)
725560-USA.23_1-844,USA.23_1,USA,United States,Michigan,4635.99764415,0.0112080029390172,0.0,0.0,Low (<10%)
725560-USA.36_1-1216,USA.36_1,USA,United States,Ohio,10013.0509237,0.0112080029390172,0.0,0.0,Low (<10%)
725560-USA.36_1-844,USA.36_1,USA,United States,Ohio,3506.75711232,0.0112080029390172,0.0,0.0,Low (<10%)
725571-USA.23_1-844,USA.23_1,USA,United States,Michigan,638.40799859,0.0006314998691358,0.0,0.0,Low (<10%)
725571-USA.36_1-1216,USA.36_1,USA,United States,Ohio,81.2333943038,0.0006314998691358,0.0,0.0,Low (<10%)
725571-USA.36_1-1288,USA.36_1,USA,United States,Ohio,43.6864709122,0.0006314998691358,0.0,0.0,Low (<10%)
725571-USA.36_1-844,USA.36_1,USA,United States,Ohio,57.1055036946,0.0006314998691358,0.0,0.0,Low (<10%)
725572-USA.23_1-1287,USA.23_1,USA,United States,Michigan,78.8334429875,0.5777778609136524,3.530514924286732,3.0,High (40-80%)
725572-USA.23_1-844,USA.23_1,USA,United States,Michigan,2062.76782711,0.5777778609136524,3.530514924286732,3.0,High (40-80%)
725572-USA.36_1-844,USA.36_1,USA,United States,Ohio,8.90704094304,0.5777778609136524,3.530514924286732,3.0,High (40-80%)
725573-USA.23_1-844,USA.23_1,USA,United States,Michigan,2156.81707734,0.0075913682208164,0.0,0.0,Low (<10%)
725573-USA.36_1-844,USA.36_1,USA,United States,Ohio,66.0925047467,0.0075913682208164,0.0,0.0,Low (<10%)
725574-USA.23_1-844,USA.23_1,USA,United States,Michigan,14.3448322367,0.8402529015845739,4.070823619496321,4.0,Extremely High (>80%)
725575-USA.23_1-844,USA.23_1,USA,United States,Michigan,205.658984566,0.0011830234571742,0.0,0.0,Low (<10%)
725576-USA.23_1-844,USA.23_1,USA,United States,Michigan,2.32275042677,0.001834207125235,0.0,0.0,Low (<10%)
725577-USA.23_1-1287,USA.23_1,USA,United States,Michigan,18.1475176081,0.1666497815934642,1.73681942669369,1.0,Low - Medium (10-20%)
725577-USA.23_1-844,USA.23_1,USA,United States,Michigan,8773.79141601,0.1666497815934642,1.73681942669369,1.0,Low - Medium (10-20%)
725578-USA.23_1-844,USA.23_1,USA,United States,Michigan,91.7925778525,0.000382206295894,0.0,0.0,Low (<10%)
725579-USA.23_1-844,USA.23_1,USA,United States,Michigan,2950.04644764,0.0002368392258252,0.0,0.0,Low (<10%)
725581-USA.23_1-1287,USA.23_1,USA,United States,Michigan,403.940327104,0.000144520950746,0.0,0.0,Low (<10%)
725581-USA.23_1-844,USA.23_1,USA,United States,Michigan,1335.42033315,0.000144520950746,0.0,0.0,Low (<10%)
